City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,crane,31.3974,-102.3501,30.67,22,0,3.66,US,1730056340
249,obock,12.25,43.0833,23.91,73,10,6.37,DJ,1730056341
250,port said,31.2565,32.2841,23.99,62,0,7.72,EG,1730056322
251,as safirah,36.077,37.3725,15.82,30,0,1.61,SY,1730056343
252,idabel,33.8957,-94.8263,21.97,73,40,3.09,US,1730056345
253,karratha,-20.7377,116.8463,27.8,46,0,4.28,AU,1730056346
254,luba,3.4568,8.5547,26.8,85,32,2.79,GQ,1730056347
255,kapa'a,22.0752,-159.319,27.18,85,40,7.2,US,1730056348
256,tofol,5.3248,163.0078,28.89,68,44,1.37,FM,1730056349
257,masterton,-40.9597,175.6575,11.28,65,8,4.92,NZ,1730056350
258,cestos city,5.46,-9.5828,26.11,85,73,2.96,LR,1730056352
259,atafu village,-8.5421,-172.5159,28.03,72,100,6.74,TK,1730056353
260,calama,-22.4667,-68.9333,26.27,6,0,9.77,CL,1730056354
261,constitucion,-35.3333,-72.4167,18.68,65,14,4.98,CL,1730056079
262,mount isa,-20.7333,139.5,24.87,16,6,5.14,AU,1730056358
263,weno,7.4515,151.8468,27.97,83,100,0.0,FM,1730056359
264,cabedelo,-6.9811,-34.8339,29.37,70,16,5.68,BR,1730056360
265,dodge city,37.7528,-100.0171,23.72,40,0,7.2,US,1730056315
266,zheleznogorsk,52.331,35.3711,6.85,75,100,2.5,RU,1730056362
267,cascais,38.6979,-9.4215,15.84,80,20,6.69,PT,1730056203
268,clorinda,-25.2848,-57.7185,32.9,32,46,2.64,AR,1730056365
269,nueva gerona,21.8833,-82.8,28.63,60,92,6.42,CU,1730056202
270,kingston,17.997,-76.7936,27.31,88,69,1.23,JM,1730056312
271,maitum,6.0392,124.4986,25.75,78,92,3.48,PH,1730056368
272,saint-philippe,-21.3585,55.7679,24.3,88,100,2.04,RE,1730056369
273,yanchep,-31.55,115.6833,14.91,52,0,3.49,AU,1730056371
274,ta`u,-14.2336,-169.5144,26.56,83,34,7.0,AS,1730056372
275,ngorongoro,-3.2397,35.4875,15.77,59,24,0.52,TZ,1730056373
276,chimoio,-19.1164,33.4833,25.55,45,59,1.43,MZ,1730056075
277,puerto armuelles,8.2833,-82.8667,27.83,75,43,0.45,PA,1730056302
278,imperatriz,-5.5264,-47.4917,39.55,19,6,2.68,BR,1730056377
279,vadso,70.0744,29.7487,7.09,81,75,8.75,NO,1730056378
280,sona,45.4388,10.8255,17.51,94,40,1.54,IT,1730056381
281,usogorsk,63.4106,48.6872,0.54,94,22,1.18,RU,1730056382
282,rio preto da eva,-2.6994,-59.6997,37.2,28,100,1.91,BR,1730056383
283,lorengau,-2.0226,147.2712,28.11,79,17,5.48,PG,1730056384
284,puebloviejo,10.9938,-74.2844,35.1,59,20,2.57,CO,1730056159
285,moranbah,-22.0016,148.0466,19.32,80,5,4.57,AU,1730056272
286,nechi,8.0942,-74.7757,31.42,67,100,0.94,CO,1730056388
287,nantucket,41.2835,-70.0995,12.06,28,0,4.12,US,1730056282
288,neryungri,56.6709,124.6491,-9.68,97,98,1.29,RU,1730056390
289,hawaiian paradise park,19.5933,-154.9731,24.39,98,100,2.06,US,1730056391
290,saint-joseph,-21.3667,55.6167,23.21,88,100,2.41,RE,1730056392
291,pangai,-19.8,-174.35,25.06,78,75,3.09,TO,1730056394
292,nabire,-3.3667,135.4833,24.05,93,37,1.27,ID,1730056395
293,tolanaro,-25.0319,46.9987,25.04,94,40,9.77,MG,1730056397
294,pocone,-16.2567,-56.6228,26.24,85,100,1.41,BR,1730056399
295,khandyga,62.6667,135.6,-19.36,96,100,0.08,RU,1730056400
296,utrik,11.2278,169.8474,28.55,76,89,4.56,MH,1730056401
297,sao joao do piaui,-8.3581,-42.2467,39.94,14,4,1.33,BR,1730056403
298,kununurra,-15.7667,128.7333,25.99,73,20,0.51,AU,1730056404
299,ursulo galvan,22.7333,-98.3,29.55,59,33,1.03,MX,1730056405
300,kuraymah,18.55,31.85,26.58,11,58,5.11,SD,1730056406
301,palmares do sul,-30.2578,-50.5097,21.23,44,0,5.04,BR,1730056407
302,new norfolk,-42.7826,147.0587,7.06,71,9,3.72,AU,1730056408
303,nyrob,60.733,56.7202,-0.79,94,81,1.23,RU,1730056410
304,bontang,0.1333,117.5,25.4,86,47,2.6,ID,1730056411
305,port douglas,-16.4833,145.4667,24.72,89,100,4.53,AU,1730056412
306,midvagur,62.0511,-7.1939,3.46,87,75,0.0,FO,1730056413
307,paramirim,-13.4425,-42.2389,36.58,12,100,4.33,BR,1730056414
308,halifax,44.6453,-63.5724,9.69,42,6,3.58,CA,1730056130
309,caleta de carquin,-11.0925,-77.6267,20.59,72,24,5.32,PE,1730056417
310,tafuna,-14.3358,-170.72,28.97,79,40,4.63,AS,1730056418
311,la'ie,21.6477,-157.9253,27.66,85,85,3.58,US,1730056419
312,puerto baquerizo moreno,-0.9,-89.6,24.55,69,40,6.69,EC,1730056207
313,isaka,-3.9,32.9333,21.65,73,7,2.34,TZ,1730056422
314,el granada,37.5027,-122.4694,21.36,84,75,2.57,US,1730056424
315,saudarkrokur,65.7461,-19.6394,-7.7,84,12,3.91,IS,1730056425
316,santyoku,37.4406,129.1708,15.57,87,100,2.67,KR,1730056426
